TourId iBest gBest time(ms)
1963 4715.0828494447 3767.8558174232 1362
1964 4676.2162000177 3767.8558174232 1354
1965 4515.4031761750 3767.8558174232 1352
1966 4695.1771124654 3767.8558174232 1353
1967 4518.5645534621 3767.8558174232 1357
1968 4553.8327923033 3767.8558174232 1367
1969 4740.4923753241 3767.8558174232 1354
1970 4634.7818006301 3767.8558174232 1359
1971 4730.6316863062 3767.8558174232 1358
1972 4488.4936381205 3767.8558174232 1361
1973 4603.1952739365 3767.8558174232 1359
1974 4541.4391179683 3767.8558174232 1353
1975 4648.1518319577 3767.8558174232 1355
1976 4684.7495894145 3767.8558174232 1355
1977 4641.3907212121 3767.8558174232 1359
1978 4524.5301805400 3767.8558174232 1358
1979 4633.1335609712 3767.8558174232 1353
1980 4423.4220736014 3767.8558174232 1352
1981 4753.2115742609 3767.8558174232 1350
1982 4647.5455138105 3767.8558174232 1363
1983 4650.0083794358 3767.8558174232 1364
1984 4498.8137981230 3767.8558174232 1356
1985 4666.7097061251 3767.8558174232 1358
1986 4613.4980566985 3767.8558174232 1358
1987 4664.6663600859 3767.8558174232 1351
1988 4641.5398577301 3767.8558174232 1351
1989 4508.9334780268 3767.8558174232 1352
1990 4763.8188558203 3767.8558174232 1359
1991 4681.0948869781 3767.8558174232 1358
1992 4614.5986495817 3767.8558174232 1368
1993 4730.6900341476 3767.8558174232 1356
1994 4602.5604668275 3767.8558174232 1362
1995 4675.8196838801 3767.8558174232 1369
1996 4622.9942574070 3767.8558174232 1367
1997 4684.1781236870 3767.8558174232 1385
1998 4634.3494233348 3767.8558174232 1372
1999 3788.9048532441 3767.8558174232 12957
2000 4624.9520575259 3767.8558174232 1356
2001 4663.6833639497 3767.8558174232 1355
2002 4619.7513977684 3767.8558174232 1374
2003 4667.2632138052 3767.8558174232 1362
2004 4480.4716816351 3767.8558174232 1357
2005 4637.6286518462 3767.8558174232 1337
2006 4495.1208459462 3767.8558174232 1354
2007 4501.1332023646 3767.8558174232 1360
2008 4708.5465776777 3767.8558174232 1358
2009 4662.3975453571 3767.8558174232 1350
2010 4665.0693082384 3767.8558174232 1346
2011 4598.8853447994 3767.8558174232 1354
2012 4435.7963021546 3767.8558174232 1346
2013 4434.3849685657 3767.8558174232 1356
2014 4735.6638350546 3767.8558174232 1353
2015 4600.8587316615 3767.8558174232 1348
2016 4675.5309743456 3767.8558174232 1346
2017 4585.8785264887 3767.8558174232 1350
2018 4680.9977655103 3767.8558174232 1347
2019 4571.5165890478 3767.8558174232 1347
2020 4637.4841928220 3767.8558174232 1349
2021 4705.5490778222 3767.8558174232 1346
2022 4499.7529901248 3767.8558174232 1349
2023 4838.1139294540 3767.8558174232 1345
2024 4496.8006232601 3767.8558174232 1372
2025 4656.4354297137 3767.8558174232 1363
2026 4619.4766750760 3767.8558174232 1354
2027 4598.5118439345 3767.8558174232 1360
2028 4505.3809437260 3767.8558174232 1359
2029 4576.6503249001 3767.8558174232 1360
2030 4533.9658749381 3767.8558174232 1384
2031 4647.2265919817 3767.8558174232 1392
2032 4645.3306867318 3767.8558174232 1370
2033 4743.2465884597 3767.8558174232 1362
2034 4682.1171563903 3767.8558174232 1384
2035 4595.9857018796 3767.8558174232 1366
2036 4703.3462957309 3767.8558174232 1377
2037 4537.3538473108 3767.8558174232 1368
2038 4587.9985332433 3767.8558174232 1370
2039 4633.8947848929 3767.8558174232 1362
2040 4620.7176103284 3767.8558174232 1351
2041 4697.1307525009 3767.8558174232 1351
2042 4598.5442921066 3767.8558174232 1359
2043 4491.4961233152 3767.8558174232 1338
2044 4664.1820027071 3767.8558174232 1351
2045 4570.6284027817 3767.8558174232 1386
2046 4626.0914397856 3767.8558174232 1365
2047 4553.8169408736 3767.8558174232 1364
2048 4555.6629019934 3767.8558174232 1362
2049 4590.8107481937 3767.8558174232 1356
2050 4570.1463414674 3767.8558174232 1356
2051 4622.5134743620 3767.8558174232 1362
2052 4515.4617500325 3767.8558174232 1363
2053 4564.1859418199 3767.8558174232 1361
2054 4511.9759379538 3767.8558174232 1348
2055 4697.8118074753 3767.8558174232 1348
2056 4698.8315953250 3767.8558174232 1362
2057 4642.8177643445 3767.8558174232 1349
2058 4520.1742033351 3767.8558174232 1351
2059 4623.2120847832 3767.8558174232 1358
2060 4377.2420816576 3767.8558174232 1349
2061 4513.5263781462 3767.8558174232 1361
2062 4685.1498146529 3767.8558174232 1366
2063 4689.9202817840 3767.8558174232 1368
2064 4601.3080218055 3767.8558174232 1371
2065 4605.4356697309 3767.8558174232 1341
2066 4751.0272715508 3767.8558174232 1347
2067 4740.7680052703 3767.8558174232 1353
2068 4598.3399275034 3767.8558174232 1347
2069 4637.2990921637 3767.8558174232 1348
2070 4701.8446663265 3767.8558174232 1353
2071 4616.3769304346 3767.8558174232 1353
2072 4422.5877269047 3767.8558174232 1349
2073 4523.1205839271 3767.8558174232 1372
2074 4663.5644334984 3767.8558174232 1347
2075 4798.6375908052 3767.8558174232 1351
2076 4585.7694942487 3767.8558174232 1399
2077 4532.8228543320 3767.8558174232 1389
2078 4757.2262140252 3767.8558174232 1365
2079 4666.6679231124 3767.8558174232 1360
2080 4464.2880911226 3767.8558174232 1388
2081 4696.8126444759 3767.8558174232 1364
2082 4498.4572192441 3767.8558174232 1369
2083 4716.2177592381 3767.8558174232 1391
